time_step,building_id,charger_id,connected_ev,connected_ev_soc,action,constraint_violations
4866,3,charger_12_1,EV_4,18.362128921334378,-0.0044,['Charging Power Violation']
4866,4,charger_15_1,,,-0.0044,['Discharge During Idle']
4867,1,charger_1_1,,,-0.024,['Discharge During Idle']
4867,2,charger_10_1,EV_3,31.45441041294071,-0.024,['Charging Power Violation']
4867,3,charger_12_1,EV_4,18.21800386690636,-0.024,['Charging Power Violation']
4867,4,charger_15_1,,,-0.024,['Discharge During Idle']
4868,1,charger_1_1,,,-0.024,['Discharge During Idle']
4868,2,charger_10_1,EV_3,31.080489691008463,-0.024,['Charging Power Violation']
4868,3,charger_12_1,EV_4,17.923501584250317,-0.024,['Charging Power Violation']
4868,4,charger_15_1,,,-0.024,['Discharge During Idle']
4869,1,charger_1_1,,,-0.024,['Discharge During Idle']
4869,2,charger_10_1,EV_3,30.70881249340781,-0.024,['Charging Power Violation']
4869,3,charger_12_1,EV_4,17.63076631529021,-0.024,['Charging Power Violation']
4869,4,charger_15_1,,,-0.024,['Discharge During Idle']
4870,1,charger_1_1,,,-0.024,['Discharge During Idle']
4870,2,charger_10_1,EV_3,30.339365358992758,-0.024,['Charging Power Violation']
4870,3,charger_12_1,EV_4,17.339787457943864,-0.024,['Charging Power Violation']
4870,4,charger_15_1,,,-0.024,['Discharge During Idle']
4871,1,charger_1_1,,,0.034,['Charging with No EV Connected']
4871,2,charger_10_1,EV_3,29.9721349073842,0.034,[]
4871,3,charger_12_1,EV_4,17.050554473741595,0.034,[]
4871,4,charger_15_1,,,0.034,['Charging with No EV Connected']
4872,1,charger_1_1,,,0.034,['Charging with No EV Connected']
4872,2,charger_10_1,EV_3,30.0100596813486,0.034,[]
4872,3,charger_12_1,EV_4,17.166008730307855,0.034,[]
4872,4,charger_15_1,,,0.034,['Charging with No EV Connected']
4873,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
4873,2,charger_10_1,EV_3,30.047756906669218,0.05532,[]
4873,3,charger_12_1,EV_4,17.280770261334716,0.05532,[]
4873,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
4874,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
4874,2,charger_10_1,EV_3,30.221774762704783,0.05532,[]
4874,3,charger_12_1,EV_4,17.53139003724229,0.05532,[]
4874,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
4875,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
4875,2,charger_10_1,EV_3,30.394748511604135,0.05532,[]
4875,3,charger_12_1,EV_4,17.780506094494413,0.05532,[]
4875,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
4876,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
4876,2,charger_10_1,EV_3,30.56668441801009,0.05532,[]
4876,3,charger_12_1,EV_4,18.028127455403023,0.05532,[]
4876,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
4877,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
4877,2,charger_10_1,EV_3,30.73758870897761,0.05532,[]
4877,3,charger_12_1,EV_4,18.274263088146185,0.05532,[]
4877,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
4878,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
4878,2,charger_10_1,EV_3,30.907467574199323,0.05532,[]
4878,3,charger_12_1,EV_4,18.51892190709289,0.05532,[]
4878,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
4879,1,charger_1_1,,,-0.02,['Discharge During Idle']
4879,2,charger_10_1,EV_3,31.076327166229703,-0.02,['Charging Power Violation']
4879,3,charger_12_1,EV_4,18.762112773125907,-0.02,['Charging Power Violation']
